,1. open,2. high,3. low,4. close
2024-12-19,1.03495,1.04224,1.03487,1.03913
2024-12-18,1.0353,1.03821,1.03509,1.03799
2024-12-17,1.0495,1.05153,1.04678,1.0495
2024-12-16,1.05174,1.05329,1.048,1.05174
2024-12-15,1.051,1.05241,1.0475,1.051
2024-12-12,1.04741,1.0523,1.04543,1.04741
2024-12-11,1.05069,1.053,1.04649,1.05069
2024-12-10,1.0533,1.05407,1.04816,1.0533
2024-12-09,1.05552,1.05675,1.05003,1.05552
2024-12-08,1.05655,1.05928,1.05331,1.05655
2024-12-05,1.05856,1.06264,1.05461,1.05856
2024-12-04,1.05141,1.05883,1.05089,1.05141
2024-12-03,1.05108,1.05401,1.0474,1.05108
2024-12-02,1.05012,1.05303,1.04818,1.05012
2024-12-01,1.05457,1.05457,1.04622,1.05451
2024-11-28,1.0563,1.05955,1.0543,1.0563
2024-11-27,1.05625,1.05652,1.05292,1.05625
2024-11-26,1.04912,1.05835,1.04755,1.04912
2024-11-25,1.04443,1.05438,1.04273,1.04443
2024-11-24,1.04799,1.05296,1.04495,1.04799
2024-11-21,1.04693,1.04987,1.03399,1.04693
2024-11-20,1.05462,1.05574,1.04691,1.05462
2024-11-19,1.06076,1.06123,1.05085,1.06076
2024-11-18,1.05949,1.06011,1.05285,1.05949
2024-11-17,1.05337,1.05865,1.05312,1.05337
2024-11-14,1.05301,1.05916,1.05244,1.05301
2024-11-13,1.05641,1.05809,1.04992,1.05641
2024-11-12,1.06167,1.06491,1.05598,1.06167
2024-11-11,1.06644,1.06635,1.0597,1.06644
2024-11-10,1.07149,1.07285,1.06288,1.07149
2024-11-07,1.07952,1.07974,1.07104,1.07952
2024-11-06,1.07331,1.0826,1.07141,1.07331
2024-11-05,1.09345,1.09334,1.06838,1.09345
2024-11-04,1.08741,1.09218,1.08733,1.08741
2024-11-03,1.08745,1.09158,1.08704,1.08745
2024-10-31,1.08861,1.09041,1.08485,1.08861
2024-10-30,1.08592,1.08884,1.08451,1.08592
2024-10-29,1.08206,1.08667,1.081,1.08206
2024-10-28,1.08168,1.08263,1.07704,1.08168
2024-10-27,1.07966,1.08272,1.07827,1.07966
2024-10-24,1.08241,1.08425,1.08119,1.08241
2024-10-23,1.07805,1.08102,1.07716,1.07805
2024-10-22,1.07973,1.08085,1.07626,1.07973
2024-10-21,1.08178,1.08378,1.08019,1.08178
2024-10-20,1.08686,1.08696,1.08211,1.08686
2024-10-17,1.08295,1.08637,1.08282,1.08295
2024-10-16,1.08625,1.08699,1.08139,1.08625
2024-10-15,1.08841,1.09016,1.08682,1.08841
2024-10-14,1.09092,1.09182,1.08858,1.09092
2024-10-13,1.09254,1.09397,1.09057,1.09254
2024-10-10,1.09339,1.09542,1.09274,1.09339
2024-10-09,1.09433,1.09545,1.0914,1.09433
2024-10-08,1.09757,1.09806,1.09407,1.09757
2024-10-07,1.09757,1.09975,1.09617,1.09757
2024-10-06,1.09745,1.0985,1.09555,1.09745
2024-10-03,1.10356,1.104,1.09561,1.10356
2024-10-02,1.10485,1.10485,1.10096,1.10485
2024-10-01,1.10639,1.10822,1.10341,1.10639
2024-09-30,1.11366,1.11458,1.10611,1.11366
2024-09-29,1.11698,1.12084,1.11361,1.11698
2024-09-26,1.11772,1.11998,1.11266,1.11772
2024-09-25,1.1131,1.11896,1.11268,1.1131
2024-09-24,1.11912,1.12124,1.11417,1.11912
2024-09-23,1.11117,1.11635,1.1104,1.11117
2024-09-22,1.11608,1.11682,1.10849,1.11608
2024-09-19,1.1162,1.11817,1.11373,1.1162
2024-09-18,1.11148,1.11807,1.10705,1.11148
2024-09-17,1.11231,1.11408,1.11091,1.11231
2024-09-16,1.11295,1.11462,1.11131,1.11295
2024-09-15,1.10884,1.11354,1.10871,1.10884
2024-09-12,1.10779,1.11025,1.10739,1.10779
2024-09-11,1.10109,1.10475,1.10065,1.10109
2024-09-10,1.1021,1.1055,1.10028,1.1021
2024-09-09,1.10375,1.10503,1.10163,1.10375
2024-09-08,1.10872,1.10914,1.1035,1.10872
2024-09-05,1.11111,1.11496,1.10672,1.11111
2024-09-04,1.10804,1.11211,1.10752,1.10804
2024-09-03,1.10489,1.1094,1.10408,1.10489
2024-09-02,1.10675,1.10705,1.10337,1.10675
2024-09-01,1.10448,1.10776,1.10425,1.10448
2024-08-29,1.10804,1.10957,1.1054,1.10804
2024-08-28,1.1125,1.11402,1.10563,1.1125
2024-08-27,1.11779,1.11819,1.11054,1.11779
2024-08-26,1.11647,1.11796,1.11513,1.11647
2024-08-25,1.11879,1.12011,1.11529,1.11879
2024-08-22,1.11172,1.11959,1.11068,1.11172
2024-08-21,1.11554,1.11575,1.10993,1.11554
2024-08-20,1.11279,1.11483,1.11056,1.11279
2024-08-19,1.10865,1.11173,1.10725,1.10865
2024-08-18,1.1025,1.10726,1.10239,1.1025
2024-08-15,1.09727,1.10044,1.09737,1.09727
2024-08-14,1.10132,1.10169,1.09505,1.10132
2024-08-13,1.0997,1.10485,1.09883,1.0997
2024-08-12,1.09363,1.09625,1.09157,1.09363
2024-08-11,1.09138,1.09397,1.09133,1.09138
2024-08-08,1.09157,1.09313,1.09096,1.09157
2024-08-07,1.09281,1.09469,1.08823,1.09281
2024-08-06,1.09262,1.09364,1.09069,1.09262
2024-08-05,1.0951,1.09631,1.09047,1.0951
2024-08-04,1.09108,1.10074,1.08937,1.09108
2024-08-01,1.07876,1.09262,1.0783,1.07876
2024-07-31,1.08239,1.08378,1.07783,1.08239
2024-07-30,1.08161,1.08519,1.08087,1.08161
2024-07-29,1.08195,1.08378,1.08,1.08195
2024-07-28,1.08538,1.08719,1.08031,1.08538
2024-07-25,1.08513,1.08685,1.08427,1.08513
2024-07-24,1.08395,1.08644,1.08293,1.08395
2024-07-23,1.08507,1.08665,1.08267,1.08507
2024-07-22,1.08898,1.09004,1.08445,1.08898
2024-07-21,1.08992,1.09016,1.08737,1.08992
2024-07-18,1.09016,1.09016,1.08774,1.09016
2024-07-17,1.09402,1.09421,1.09054,1.09402
2024-07-16,1.09025,1.09472,1.08963,1.09025
2024-07-15,1.09016,1.09063,1.08722,1.09016
2024-07-14,1.08855,1.09219,1.08844,1.08855
2024-07-11,1.08728,1.09112,1.08631,1.08728
2024-07-10,1.08333,1.08984,1.08329,1.08333
2024-07-09,1.08148,1.08287,1.08119,1.08148
2024-07-08,1.08309,1.08342,1.08062,1.08309
2024-07-07,1.0826,1.08472,1.08151,1.0826
2024-07-04,1.08107,1.08384,1.08107,1.08107
2024-07-03,1.07933,1.08167,1.07842,1.07933
2024-07-02,1.07484,1.08156,1.07371,1.07484
2024-07-01,1.07371,1.07461,1.07106,1.07371
2024-06-30,1.07353,1.07782,1.07208,1.07353
2024-06-27,1.07085,1.0721,1.0686,1.07085
2024-06-26,1.06801,1.07262,1.06778,1.06801
2024-06-25,1.07096,1.07204,1.06677,1.07096
2024-06-24,1.07327,1.07458,1.06922,1.07327
2024-06-23,1.06878,1.0747,1.06844,1.06878
2024-06-20,1.07064,1.07227,1.06719,1.07064
2024-06-19,1.07515,1.07504,1.07075,1.07515
2024-06-18,1.07423,1.07533,1.07263,1.07423
2024-06-17,1.07407,1.07612,1.07111,1.07407
2024-06-16,1.07022,1.07262,1.06876,1.07022
2024-06-13,1.07388,1.07458,1.06682,1.07388
2024-06-12,1.08132,1.08178,1.07538,1.08132
2024-06-11,1.07403,1.08518,1.0735,1.07403
2024-06-10,1.07643,1.07735,1.07211,1.07643
2024-06-09,1.07789,1.07828,1.07336,1.07789
2024-06-06,1.08944,1.09018,1.0805,1.08944
2024-06-05,1.08745,1.08987,1.08637,1.08745
2024-06-04,1.08819,1.08899,1.0861,1.08819
2024-06-03,1.09074,1.09182,1.08607,1.09074
2024-06-02,1.0853,1.08909,1.0828,1.0853
2024-05-30,1.08354,1.08826,1.08116,1.08354
2024-05-29,1.08018,1.0846,1.0789,1.08018
2024-05-28,1.08519,1.08589,1.08095,1.08519
2024-05-27,1.08619,1.08895,1.08591,1.08619
2024-05-26,1.08476,1.08672,1.08418,1.08476
2024-05-23,1.08127,1.08566,1.08061,1.08127
2024-05-22,1.08252,1.08613,1.0813,1.08252
2024-05-21,1.08552,1.08648,1.08225,1.08552
2024-05-20,1.08608,1.08755,1.0846,1.08608
2024-05-19,1.08755,1.08849,1.0855,1.08755
2024-05-16,1.08678,1.08789,1.08363,1.08678
2024-05-15,1.08898,1.08968,1.08552,1.08898
2024-05-14,1.08146,1.08743,1.08136,1.08146
2024-05-13,1.07935,1.08284,1.07764,1.07935
2024-05-12,1.07704,1.08073,1.07665,1.07704
2024-05-09,1.07852,1.07933,1.07621,1.07852
2024-05-08,1.07469,1.07828,1.07251,1.07469
2024-05-07,1.07505,1.07585,1.07357,1.07505
2024-05-06,1.07675,1.07898,1.07558,1.07675
2024-05-05,1.07581,1.07921,1.07564,1.07581
2024-05-02,1.07331,1.08094,1.0725,1.07331
2024-05-01,1.07216,1.07308,1.06758,1.07216
2024-04-30,1.06665,1.06887,1.06501,1.06665
2024-04-29,1.07157,1.07365,1.06843,1.07157
2024-04-28,1.07069,1.07354,1.0691,1.07069
2024-04-25,1.07296,1.07529,1.06756,1.07296
2024-04-24,1.06999,1.07319,1.06787,1.06999
2024-04-23,1.07044,1.07158,1.06792,1.07044
2024-04-22,1.0654,1.071,1.06393,1.0654
2024-04-21,1.06578,1.06712,1.06251,1.06583
2024-04-18,1.06442,1.06803,1.06118,1.06442
2024-04-17,1.06694,1.06918,1.06478,1.06694
2024-04-16,1.06215,1.06527,1.06082,1.06215
2024-04-15,1.06258,1.0654,1.06041,1.06258
2024-04-14,1.06496,1.06655,1.06236,1.06496
2024-04-11,1.07269,1.07296,1.06237,1.07269
2024-04-10,1.07417,1.07558,1.07004,1.07417
2024-04-09,1.08593,1.08684,1.07338,1.08593
2024-04-08,1.08637,1.08885,1.08499,1.08637
2024-04-07,1.08305,1.08584,1.08216,1.08305
2024-04-04,1.0837,1.08485,1.07917,1.0837
2024-04-03,1.08384,1.08758,1.08351,1.08384
2024-04-02,1.07685,1.08319,1.07647,1.07685
2024-04-01,1.07372,1.07788,1.07254,1.07372
2024-03-31,1.07927,1.08015,1.07316,1.07927
2024-03-28,1.07945,1.08073,1.07689,1.07945
2024-03-27,1.08134,1.08284,1.07755,1.08134
2024-03-26,1.08324,1.08393,1.08117,1.08324
2024-03-25,1.08382,1.08641,1.0826,1.08382
2024-03-24,1.08075,1.08436,1.08026,1.08075
2024-03-21,1.08624,1.08696,1.08091,1.08624
